,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,순,고객,국가,견적번호,RFQ no.,견적일,유효일,PO no.,수주일,납기,Item,구분,수량,수주금액 (전체),수주금액 (2025년),수주금액 (2026년),목표가,견적가(AB),견적가(CD),제조원가,손익(%),입금 총액,비고
,1,현대로템,홍콩,20240225-1,,2025-02-05 00:00:00,2025-02-20 00:00:00,HRCPO20250226-001,2025-02-26 00:00:00,2025-03-25 00:00:00,,EIDS 수리비 및 보수품,,9983340,9983340,0,9983340,9983340,,,,9983340,"USD 6885
250615 수금 완료 / 프로젝트 종료"
,2,현대로템,말레이시아,2025041501,,2025-04-15 00:00:00,2025-04-30 00:00:00,,,,,말레이시아 예비품,,,,,188500000,,188500000,,,,LED 품목 2종 포함 20250415 재견적
,3,현대로템,홍콩,20250325-1,,2025-03-25 00:00:00,2025-04-09 00:00:00,HRCPO20250326-001,2025-03-26 00:00:00,,,"홍콩 SW 및 AP, WIFI 점검 출장",,9900000,9900000,0,9900000,9900000,,,,9900000,USD 6875 / 수금 완료 / 프로젝트 종료
,4,현대로템,홍콩,HSJ20250521-02_rev.3,,2025-09-10 00:00:00,2025-09-30 00:00:00,,,,,"신역사 KTU 추가
방송소프트웨어 업데이트",,294790700,0,294790700,294790700,294790700,,,,0,250930 PO 수신
,5,현대로템,대한민국,HSJ20250425-01,,2025-09-17 00:00:00,2025-09-30 00:00:00,,,,,9호선열차번호표시기 예비품 공급 및 SW업데이트,,,,,26842450,,26842450,,,,250917 기 작업 견적에 예비품 견적을 포함하여 재견적 제출
,6,현대로템,인도네시아,,,,,,,,,자카르타 경전철 방송장치 보드류 예비품,,,,,97470000,,97470000,,,,
,7,현대로템,인도네시아,,,,,,,,,자카르타 경전철 TCMS 신규 개발,,,,,695290000,,695290000,,,,
,8,현대로템,인도네시아,,,,,,,,,자카르타 경전철 CCTV 대체품,,,,,,,,,,,
,9,현대로템,인도네시아,,,2025-10-14 00:00:00,,,,,,자카르타 경전철 CTM 대체품,,,,,64440000,,64440000,,,,
,10,현대로템,인도네시아,,,,,,,,,자카르타 경전철 얘비품_DRM 등,,,,,31310000,,31310000,,,,
,11,현대로템,튀르키예,,,,,,,,,자카르타 경전철 예비품_MVB Board,,,,,13165000,,13165000,,,,
,12,현대로템,튀르키예,,,2025-10-14 00:00:00,,,,,,마르마라이 전동차 OPERATION PANEL,,,,,179400000,,179400000,,,,
,13,현대로템,말레이시아,,,2025-11-11 00:00:00,,,,,,LRT 파워 노이즈 필터,,,,,222920000,,222920000,,,,"수주 실패 / 12월 9일, 우진산전에서 수주했다는 정보가 입수되었음"
,14,현대로템,말레이시아,,,2025-11-27 00:00:00,,,,,,MRT PID 보드 개발,,,,,893660000,,893660000,,,,"수주 실패 / 12월 9일, 우진산전에서 수주했다는 정보가 입수되었음"
,15,현대로템,대한민국,,,,,,,,,자기부상열차 PAPIS,,,,,547428000,,547428000,,,,시행청 : 인천국제공항공사 / 2026년 예산 반영 예상
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,314674040,19883340,294790700,3275099490,314674040,2960425450,0,0,19883340,
