,,,,,,,,,,,,,,,,,,,,,,,
,,,홍콩,,,,"홍콩 SW 및 AP, WIFI 점검 출장",완결,연구소,강남궐,완료,,9900000,9900000,,9900000,9900000,0,5063144.000000001,,9900000,0,프로젝트 종료 / 실 출장 정산비용을 제조원가에 반영
,,,홍콩,,,,"신역사 KTU 추가
방송소프트웨어 업데이트",진행,연구소,강남궐,"메인프로그램 개발자 외주진행 논의중
서브장치 프로그램은 강남궐 소장 진행방향 협의중",수주를 완료한 것으로 진행여부를 판단해야 함.,294790700,294790700,,294790700,294790700,,,,0,294790700,250930 PO 수신 / 251013 사명 변경 관련 서류 제출
,,,인도네시아,,,,자카르타 경전철 방송장치 보드류 예비품,,영업/생산,장덕수,은정일 책임에게 자재 등을 포함하여 시장상황이 변동된 것을 협의,,97470000,97470000,,,,,,,,,현대로템과 공동으로 시행청 협의 예정 (9월 3~4일)
,,,인도네시아,,,,자카르타 경전철 TCMS 신규 개발,,영업/생산,장덕수,,,695290000,,695290000,,,,,,,,현대로템과 공동으로 시행청 협의 예정 (9월 3~4일)
,,,인도네시아,,,,자카르타 경전철 CCTV 대체품,,영업/생산,장덕수,,,,,,,,,,,,,
,,,인도네시아,,2025-10-14 00:00:00,,자카르타 경전철 CTM 대체품,,영업/생산,장덕수,,,64440000,64440000,,,,,,,,,
,,,인도네시아,,,,자카르타 경전철 예비품_DRM 등,,영업/생산,장덕수,TBD 2개 품목에 대하여 김재현 사장 및 강남궐 소장과 논의 필요,,31310000,31310000,,,,,,,,,TBD : DRM Control Board / PEI Ass'y Contorl Board
,,,인도네시아,,,,자카르타 경전철 예비품_MVB Board,,영업/생산,장덕수,,,13165000,13165000,,,,,,,,,
,,,튀르키예,,2025-10-14 00:00:00,,마르마라이 전동차 OPERATION PANEL,,영업/생산,장덕수,,,179400000,179400000,,,,,,,,,
,,,말레이시아,,2025-11-11 00:00:00,,LRT 파워 노이즈 필터,,영업/생산,장덕수,"11월 11일, 로템에 견적 제출을 완료하였으며, 로템의 가격 조정 요청에 따라 DX와 견적 가격 협의 중",,222920000,222920000,,,,,,,,,
,3,인터모빌리티,한국(현대자동차),,,,통전 검사기 HW 개발,완결,연구소,"이동진
김대양",완료,,36585000,36585000,,36585000,36585000,,,,36585000,0,250711 계약 완료 / 250731 전자세금계산서 발급 / 250801 대금 입금 완료
,,,한국(현대자동차),동화에프에이,,,통합통전검사기 개발,완결,연구소,"이동진
김대양",완료,,9090909,9090909,,9090909,9090909,,,,9090909,0,개발 자재대금 보전 성격 / 250807 계약 완료 / 입금 완료
,,,한국(POSCO),,,,POSCO TCMS 관련 통신보드 HW 개발,진행,연구소,김대양,"이동평균 필터 추가 완료
방향제어 확인 기능 추가
아이리코에서 PCB 5대 입고후 검사중",,26161000,26161000,,26161000,26161000,,,,7848300,18312700,250728 계약 완료 / 250731 전자세금계산서 발급 / 250801 선금(30%) 지급 완료
,4,다원시스,한국,DWE-2024-JUN-11-001,,,7호선 3차분 TCMS 개조,포기,연구소,김용종,"다원시스와 업무 종료 방안 협의중
TCMS 세트 반납후 후속 조치중
OCT와 파츠맨등 업체어서 부품 수령후 조치중",,189000000,189000000,,189000000,189000000,0,,,81000000,108000000,"2024년 수주 이월 / 250910 중도금 30%(\81,000,000) 입금 완료"
,,,한국,DWE-2024-AUG-29-001,,,4호선 방송편집기 소프트웨어개발,진행,연구소,강남궐,강남궐 소장과 업무 진행방향 논의중,,98000000,98000000,,98000000,98000000,0,,,42000000,56000000,2024년 수주 이월
,6,지엠테크,인도네시아,OS02,2025-09-25 00:00:00,2026-01-31 00:00:00,자카르타 경전철 방송장치 보드류 예비품,진행,영업/생산,장덕수,"NVR CPU(3대), OS(2대), 판넬기구물(도면확인중) 발주 완료
TNFDI LEDC 보드 발주 (5대)
허브, TCIU, NVR, SSD 구매자료 정리중",,30791000,30791000,,30791000,30791000,,,,6158200,24632800,251015 선수금 입금 완료
,7,인천공항공사,한국,,,,자기부상열차 PAPIS,대기,영업/생산,장덕수,"11월 13일, DX와 견적 가격 조정을 협의하였음",,,,,,,,,,,,
,8,지에이티,,,-,-,TCMS 독자모델,,연구소,"강남궐
김용종",향후 진행 방향 논의 필요,,,,,,,,,,,,
,,,,,,,PAPIS 독자모델,,연구소,"강남궐
이동진",향후 진행 방향 논의 필요,,,,,,,,,,,,
,,총계,,,,,,,-,-,,,2858648625,1974858625,883790000,1099537625,1099537625,0,,,462330802,637206823,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,USD,1200,,,,,,
,,,,,,,,,,,,,,,,Euro,1400,,,,,,
,,,,,,,,,,,,,,,,HKD,140,,,,,,
,,,,,,,,,,,,,,,,SGD,800,,,,,,
,,,,,,,,,,,,,,,,AUD,830,,,,,,
,,,,,,,,,,,,,,,,NZD,850,,,,,,
,,,,,,,,,,,,,,,,CNY,160,,,,,,
,,,,,,,,,,,,,,,,GBP,1700,,,,,,
,,,,,,,,,,,,,,,,JPY,9.2,,,,,,
