,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,순,고객,국가,견적번호,RFQ no.,견적일,유효일,PO no.,수주일,납기,Item,구분,수량,수주금액 (전체),수주금액 (2026년),수주금액 (2027년),목표가,견적가(AB),견적가(CD),제조원가,손익(%),입금 총액,비고
,1,현대로템,말레이시아,2025041501,,2025-04-15 00:00:00,2025-04-30 00:00:00,,,,,말레이시아 예비품,,,,,188500000,,188500000,,,,견적기한 만료 / 재견적 필요
,2,현대로템,홍콩,HSJ20250521-02_rev.3,,2025-09-10 00:00:00,2025-09-30 00:00:00,,,,,"신역사 KTU 추가
방송소프트웨어 업데이트",,294790700,294790700,,294790700,294790700,,,,0,"2025년 수주 이월 / 
251231 전자계약 체결(계약일 : PO 발행일 (250930) 소급 적용)"
,3,현대로템,인도네시아,,,,   ,,,,,자카르타 경전철 방송장치 보드류 예비품,,,,,97470000,,97470000,,,,견적기한 만료 / 재견적 필요
,4,현대로템,인도네시아,,,,,,,,,자카르타 경전철 TCMS 신규 개발,,,,,695290000,,695290000,,,,견적기한 만료 / 재견적 필요
,5,현대로템,인도네시아,,,,,,,,,자카르타 경전철 CCTV 대체품,,,,,,,,,,,
,6,현대로템,인도네시아,,,2025-10-14 00:00:00,,,,,,자카르타 경전철 CTM 대체품,,,,,64440000,,64440000,,,,견적기한 만료 / 재견적 필요
,7,현대로템,인도네시아,,,,,,,,,자카르타 경전철 얘비품_DRM 등,,,,,31310000,,31310000,,,,견적기한 만료 / 재견적 필요
,8,현대로템,튀르키예,,,,,,,,,자카르타 경전철 예비품_MVB Board,,,,,13165000,,13165000,,,,견적기한 만료 / 재견적 필요
,9,현대로템,튀르키예,,,2025-10-14 00:00:00,,,,,,마르마라이 전동차 OPERATION PANEL,,,,,179400000,,179400000,,,,견적기한 만료 / 재견적 필요
,10,현대로템,대한민국,,,,,,,,,자기부상열차 PAPIS,,,,,547428000,,547428000,,,,시행청 : 인천국제공항공사 / 2026년 예산 반영 예상
,11,현대로템,튀르키예,,,,,,,,,"[터키 예니카프 68량]DOOR, MVB CONVERTER",,,,,,,,,,,미래일 및 인터콘과 제작 관련 협의 검토
,12,현대로템,튀르키예,,,,,,,,,[터키 예니카프 68량]CCTV,,,,,,,,,,,미래일 및 인터콘과 제작 관련 협의 검토
,13,현대로템,튀르키예,,,,,,,,,[터키 예니카프 68량]스피커 및 노이즈 센서,,,,,,,,,,,미래일 및 인터콘과 제작 관련 협의 검토
,14,현대로템,튀르키예,,,,,,,,,[터키 예니카프 68량]방송장치 보드,,,,,,,,,,,미래일 및 인터콘과 제작 관련 협의 검토
,15,현대로템,튀르키예,,,,,,,,,[터키 예니카프 68량]르키예 이스탄불 예니카프 예비품,,,,,,,,,,,미래일 및 인터콘과 제작 관련 협의 검토
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,294790700,294790700,0,2111793700,294790700,1817003000,0,0,0,
